month,day_of_year,hour,minute,day_of_week,holiday,route_A->B,route_B->A,capacity,tickets_9_eur,tickets_12_eur,tickets_15_eur,tickets_19_eur,ride_departure
1,6,17,15,1,0,0,1,82.0,62.0,0.0,0.0,0.0,2015-01-06 17:15:00
1,6,18,45,1,0,1,0,82.0,50.0,0.0,0.0,0.0,2015-01-06 18:45:00
1,6,19,45,1,0,0,1,82.0,51.0,0.0,0.0,0.0,2015-01-06 19:45:00
1,6,20,45,1,0,1,0,82.0,40.0,0.0,0.0,0.0,2015-01-06 20:45:00
1,7,7,15,2,0,0,1,82.0,35.0,0.0,0.0,0.0,2015-01-07 07:15:00
1,7,8,15,2,0,1,0,82.0,31.0,0.0,0.0,0.0,2015-01-07 08:15:00
1,7,9,15,2,0,0,1,82.0,48.0,0.0,0.0,0.0,2015-01-07 09:15:00
1,7,11,45,2,0,0,1,82.0,18.0,0.0,0.0,0.0,2015-01-07 11:45:00
1,7,16,15,2,0,0,1,82.0,34.0,0.0,0.0,0.0,2015-01-07 16:15:00
1,7,17,45,2,0,1,0,82.0,43.0,0.0,0.0,0.0,2015-01-07 17:45:00
1,7,18,45,2,0,0,1,82.0,37.0,0.0,0.0,0.0,2015-01-07 18:45:00
1,7,19,45,2,0,1,0,82.0,20.0,0.0,0.0,0.0,2015-01-07 19:45:00
1,8,7,15,3,0,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-08 07:15:00
1,8,8,15,3,0,1,0,82.0,15.0,0.0,0.0,0.0,2015-01-08 08:15:00
1,8,9,15,3,0,0,1,82.0,21.0,0.0,0.0,0.0,2015-01-08 09:15:00
1,8,10,45,3,0,1,0,82.0,11.0,0.0,0.0,0.0,2015-01-08 10:45:00
1,8,11,45,3,0,0,1,82.0,31.0,0.0,0.0,0.0,2015-01-08 11:45:00
1,8,14,15,3,0,0,1,82.0,19.0,0.0,0.0,0.0,2015-01-08 14:15:00
1,8,15,15,3,0,1,0,82.0,25.0,0.0,0.0,0.0,2015-01-08 15:15:00
1,8,16,15,3,0,0,1,82.0,24.0,0.0,0.0,0.0,2015-01-08 16:15:00
1,8,17,45,3,0,1,0,82.0,50.0,0.0,0.0,0.0,2015-01-08 17:45:00
1,8,18,45,3,0,0,1,82.0,35.0,0.0,0.0,0.0,2015-01-08 18:45:00
1,8,19,45,3,0,1,0,82.0,23.0,0.0,0.0,0.0,2015-01-08 19:45:00
1,9,7,15,4,0,0,1,82.0,41.0,0.0,0.0,0.0,2015-01-09 07:15:00
1,9,8,15,4,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-09 08:15:00
1,9,9,15,4,0,0,1,82.0,44.0,0.0,0.0,0.0,2015-01-09 09:15:00
1,9,12,45,4,0,1,0,82.0,43.0,0.0,0.0,0.0,2015-01-09 12:45:00
1,9,14,15,4,0,0,1,82.0,75.0,0.0,0.0,0.0,2015-01-09 14:15:00
1,9,15,15,4,0,1,0,82.0,74.0,6.0,1.0,0.0,2015-01-09 15:15:00
1,9,16,15,4,0,0,1,82.0,74.0,0.0,0.0,0.0,2015-01-09 16:15:00
1,9,17,45,4,0,1,0,82.0,78.0,1.0,0.0,0.0,2015-01-09 17:45:00
1,9,18,45,4,0,0,1,82.0,51.0,0.0,0.0,0.0,2015-01-09 18:45:00
1,9,19,45,4,0,1,0,82.0,45.0,0.0,0.0,0.0,2015-01-09 19:45:00
1,10,7,15,5,0,0,1,82.0,41.0,0.0,0.0,0.0,2015-01-10 07:15:00
1,10,8,15,5,0,1,0,82.0,20.0,0.0,0.0,0.0,2015-01-10 08:15:00
1,10,9,15,5,0,0,1,82.0,59.0,0.0,0.0,0.0,2015-01-10 09:15:00
1,10,10,45,5,0,1,0,82.0,32.0,0.0,0.0,0.0,2015-01-10 10:45:00
1,10,11,45,5,0,0,1,82.0,24.0,0.0,0.0,0.0,2015-01-10 11:45:00
1,10,12,45,5,0,1,0,82.0,51.0,0.0,0.0,0.0,2015-01-10 12:45:00
1,10,14,15,5,0,0,1,82.0,29.0,0.0,0.0,0.0,2015-01-10 14:15:00
1,10,15,15,5,0,1,0,82.0,50.0,0.0,0.0,0.0,2015-01-10 15:15:00
1,10,16,15,5,0,0,1,82.0,30.0,0.0,0.0,0.0,2015-01-10 16:15:00
1,10,17,45,5,0,1,0,82.0,73.0,0.0,0.0,0.0,2015-01-10 17:45:00
1,10,18,45,5,0,0,1,82.0,29.0,0.0,0.0,0.0,2015-01-10 18:45:00
1,10,19,45,5,0,1,0,82.0,44.0,0.0,0.0,0.0,2015-01-10 19:45:00
1,11,8,15,6,0,0,1,82.0,23.0,0.0,0.0,0.0,2015-01-11 08:15:00
1,11,9,15,6,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-11 09:15:00
1,11,10,15,6,0,0,1,63.0,22.0,0.0,0.0,0.0,2015-01-11 10:15:00
1,11,11,45,6,0,1,0,82.0,25.0,0.0,0.0,0.0,2015-01-11 11:45:00
1,11,12,45,6,0,0,1,82.0,42.0,0.0,0.0,0.0,2015-01-11 12:45:00
1,11,13,45,6,0,1,0,63.0,52.0,0.0,0.0,0.0,2015-01-11 13:45:00
1,11,15,15,6,0,0,1,82.0,41.0,0.0,0.0,0.0,2015-01-11 15:15:00
1,11,16,15,6,0,1,0,82.0,61.0,16.0,4.0,1.0,2015-01-11 16:15:00
1,11,17,15,6,0,0,1,63.0,58.0,0.0,1.0,2.0,2015-01-11 17:15:00
1,11,18,45,6,0,1,0,82.0,78.0,1.0,0.0,3.0,2015-01-11 18:45:00
1,11,19,45,6,0,0,1,82.0,77.0,1.0,2.0,2.0,2015-01-11 19:45:00
1,11,20,45,6,0,1,0,63.0,59.0,0.0,1.0,1.0,2015-01-11 20:45:00
1,12,7,15,0,0,0,1,63.0,43.0,0.0,0.0,0.0,2015-01-12 07:15:00
1,12,8,15,0,0,1,0,82.0,38.0,0.0,0.0,0.0,2015-01-12 08:15:00
1,12,9,15,0,0,0,1,82.0,44.0,0.0,0.0,0.0,2015-01-12 09:15:00
1,12,10,45,0,0,1,0,63.0,29.0,0.0,0.0,0.0,2015-01-12 10:45:00
1,12,11,45,0,0,0,1,82.0,34.0,0.0,0.0,0.0,2015-01-12 11:45:00
1,12,12,45,0,0,1,0,82.0,20.0,0.0,0.0,0.0,2015-01-12 12:45:00
1,12,14,15,0,0,0,1,63.0,31.0,0.0,0.0,0.0,2015-01-12 14:15:00
1,12,15,15,0,0,1,0,82.0,30.0,0.0,0.0,0.0,2015-01-12 15:15:00
1,12,16,15,0,0,0,1,82.0,28.0,0.0,0.0,0.0,2015-01-12 16:15:00
1,12,17,45,0,0,1,0,63.0,37.0,0.0,0.0,0.0,2015-01-12 17:45:00
1,12,18,45,0,0,0,1,82.0,25.0,0.0,0.0,0.0,2015-01-12 18:45:00
1,12,19,45,0,0,1,0,82.0,25.0,0.0,0.0,0.0,2015-01-12 19:45:00
1,13,7,15,1,0,0,1,63.0,32.0,0.0,0.0,0.0,2015-01-13 07:15:00
1,13,8,15,1,0,1,0,82.0,18.0,0.0,0.0,0.0,2015-01-13 08:15:00
1,13,9,15,1,0,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-13 09:15:00
1,13,10,45,1,0,1,0,63.0,19.0,0.0,0.0,0.0,2015-01-13 10:45:00
1,13,11,45,1,0,0,1,82.0,21.0,0.0,0.0,0.0,2015-01-13 11:45:00
1,13,12,45,1,0,1,0,82.0,18.0,0.0,0.0,0.0,2015-01-13 12:45:00
1,13,14,15,1,0,0,1,63.0,24.0,0.0,0.0,0.0,2015-01-13 14:15:00
1,13,15,15,1,0,1,0,82.0,26.0,0.0,0.0,0.0,2015-01-13 15:15:00
1,13,16,15,1,0,0,1,82.0,28.0,0.0,0.0,0.0,2015-01-13 16:15:00
1,13,17,45,1,0,1,0,63.0,31.0,0.0,0.0,0.0,2015-01-13 17:45:00
1,13,18,45,1,0,0,1,82.0,26.0,0.0,0.0,0.0,2015-01-13 18:45:00
1,13,19,45,1,0,1,0,82.0,18.0,0.0,0.0,0.0,2015-01-13 19:45:00
1,14,7,15,2,0,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-14 07:15:00
1,14,8,15,2,0,1,0,82.0,20.0,0.0,0.0,0.0,2015-01-14 08:15:00
1,14,9,15,2,0,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-14 09:15:00
1,14,10,45,2,0,1,0,82.0,18.0,0.0,0.0,0.0,2015-01-14 10:45:00
1,14,11,45,2,0,0,1,82.0,34.0,0.0,0.0,0.0,2015-01-14 11:45:00
1,14,12,45,2,0,1,0,82.0,15.0,0.0,0.0,0.0,2015-01-14 12:45:00
1,14,14,15,2,0,0,1,63.0,20.0,0.0,0.0,0.0,2015-01-14 14:15:00
1,14,15,15,2,0,1,0,82.0,35.0,0.0,0.0,0.0,2015-01-14 15:15:00
1,14,16,15,2,0,0,1,82.0,26.0,0.0,0.0,0.0,2015-01-14 16:15:00
1,14,17,45,2,0,1,0,63.0,38.0,0.0,0.0,0.0,2015-01-14 17:45:00
1,14,18,45,2,0,0,1,82.0,24.0,0.0,0.0,0.0,2015-01-14 18:45:00
1,14,19,45,2,0,1,0,82.0,21.0,0.0,0.0,0.0,2015-01-14 19:45:00
1,15,7,15,3,0,0,1,82.0,40.0,0.0,0.0,0.0,2015-01-15 07:15:00
1,15,8,15,3,0,1,0,82.0,26.0,0.0,0.0,0.0,2015-01-15 08:15:00
1,15,9,15,3,0,0,1,82.0,45.0,0.0,0.0,0.0,2015-01-15 09:15:00
1,15,10,45,3,0,1,0,82.0,19.0,0.0,0.0,0.0,2015-01-15 10:45:00
1,15,11,45,3,0,0,1,82.0,25.0,0.0,0.0,0.0,2015-01-15 11:45:00
1,15,12,45,3,0,1,0,82.0,22.0,0.0,0.0,0.0,2015-01-15 12:45:00
1,15,14,15,3,0,0,1,82.0,29.0,0.0,0.0,0.0,2015-01-15 14:15:00
1,15,15,15,3,0,1,0,82.0,43.0,0.0,0.0,0.0,2015-01-15 15:15:00
1,15,16,15,3,0,0,1,82.0,43.0,0.0,0.0,0.0,2015-01-15 16:15:00
1,15,17,45,3,0,1,0,82.0,79.0,0.0,1.0,0.0,2015-01-15 17:45:00
1,15,18,45,3,0,0,1,82.0,38.0,0.0,0.0,0.0,2015-01-15 18:45:00
1,15,19,45,3,0,1,0,82.0,45.0,0.0,0.0,0.0,2015-01-15 19:45:00
1,16,7,15,4,0,0,1,82.0,59.0,0.0,0.0,0.0,2015-01-16 07:15:00
1,16,8,15,4,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-16 08:15:00
1,16,9,15,4,0,0,1,82.0,47.0,0.0,0.0,0.0,2015-01-16 09:15:00
1,16,10,45,4,0,1,0,82.0,38.0,0.0,0.0,0.0,2015-01-16 10:45:00
1,16,11,45,4,0,0,1,82.0,58.0,0.0,0.0,0.0,2015-01-16 11:45:00
1,16,12,45,4,0,1,0,82.0,46.0,0.0,0.0,0.0,2015-01-16 12:45:00
1,16,14,15,4,0,0,1,82.0,48.0,26.0,2.0,0.0,2015-01-16 14:15:00
1,16,15,15,4,0,1,0,82.0,37.0,35.0,0.0,0.0,2015-01-16 15:15:00
1,16,16,15,4,0,0,1,82.0,52.0,21.0,7.0,2.0,2015-01-16 16:15:00
1,16,17,45,4,0,1,0,82.0,53.0,25.0,2.0,2.0,2015-01-16 17:45:00
1,16,18,45,4,0,0,1,82.0,22.0,34.0,0.0,0.0,2015-01-16 18:45:00
1,16,19,45,4,0,1,0,82.0,68.0,4.0,0.0,0.0,2015-01-16 19:45:00
1,17,7,15,5,0,0,1,82.0,45.0,20.0,0.0,0.0,2015-01-17 07:15:00
1,17,8,15,5,0,1,0,82.0,45.0,0.0,0.0,0.0,2015-01-17 08:15:00
1,17,9,15,5,0,0,1,82.0,46.0,28.0,8.0,0.0,2015-01-17 09:15:00
1,17,10,45,5,0,1,0,82.0,44.0,0.0,0.0,0.0,2015-01-17 10:45:00
1,17,11,45,5,0,0,1,82.0,50.0,0.0,0.0,0.0,2015-01-17 11:45:00
1,17,12,45,5,0,1,0,82.0,41.0,0.0,0.0,0.0,2015-01-17 12:45:00
1,17,14,15,5,0,0,1,82.0,40.0,0.0,0.0,0.0,2015-01-17 14:15:00
1,17,15,15,5,0,1,0,82.0,51.0,0.0,0.0,0.0,2015-01-17 15:15:00
1,17,16,15,5,0,0,1,82.0,43.0,0.0,0.0,0.0,2015-01-17 16:15:00
1,17,17,45,5,0,1,0,82.0,47.0,29.0,4.0,0.0,2015-01-17 17:45:00
1,17,18,45,5,0,0,1,82.0,40.0,0.0,0.0,0.0,2015-01-17 18:45:00
1,17,19,45,5,0,1,0,82.0,51.0,20.0,7.0,1.0,2015-01-17 19:45:00
1,18,8,15,6,0,0,1,82.0,24.0,0.0,0.0,0.0,2015-01-18 08:15:00
1,18,9,15,6,0,1,0,82.0,23.0,0.0,0.0,0.0,2015-01-18 09:15:00
1,18,10,15,6,0,0,1,82.0,33.0,0.0,0.0,0.0,2015-01-18 10:15:00
1,18,11,45,6,0,1,0,82.0,45.0,0.0,0.0,0.0,2015-01-18 11:45:00
1,18,12,45,6,0,0,1,82.0,34.0,0.0,0.0,0.0,2015-01-18 12:45:00
1,18,13,45,6,0,1,0,82.0,58.0,0.0,0.0,0.0,2015-01-18 13:45:00
1,18,15,15,6,0,0,1,82.0,63.0,9.0,0.0,0.0,2015-01-18 15:15:00
1,18,16,15,6,0,1,0,82.0,29.0,26.0,10.0,11.0,2015-01-18 16:15:00
1,18,17,15,6,0,0,1,82.0,53.0,15.0,11.0,3.0,2015-01-18 17:15:00
1,18,18,45,6,0,1,0,82.0,26.0,37.0,7.0,9.0,2015-01-18 18:45:00
1,18,19,45,6,0,0,1,82.0,53.0,18.0,10.0,2.0,2015-01-18 19:45:00
1,18,20,45,6,0,1,0,82.0,69.0,3.0,0.0,0.0,2015-01-18 20:45:00
1,19,7,15,0,0,0,1,82.0,54.0,0.0,0.0,0.0,2015-01-19 07:15:00
1,19,8,15,0,0,1,0,82.0,28.0,0.0,0.0,0.0,2015-01-19 08:15:00
1,19,9,15,0,0,0,1,82.0,44.0,0.0,0.0,0.0,2015-01-19 09:15:00
1,19,10,45,0,0,1,0,82.0,30.0,0.0,0.0,0.0,2015-01-19 10:45:00
1,19,11,45,0,0,0,1,82.0,32.0,0.0,0.0,0.0,2015-01-19 11:45:00
1,19,12,45,0,0,1,0,82.0,20.0,0.0,0.0,0.0,2015-01-19 12:45:00
1,19,14,15,0,0,0,1,82.0,26.0,0.0,0.0,0.0,2015-01-19 14:15:00
1,19,15,15,0,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-19 15:15:00
1,19,16,15,0,0,0,1,82.0,28.0,0.0,0.0,0.0,2015-01-19 16:15:00
1,19,17,45,0,0,1,0,82.0,29.0,0.0,0.0,0.0,2015-01-19 17:45:00
1,19,18,45,0,0,0,1,82.0,29.0,0.0,0.0,0.0,2015-01-19 18:45:00
1,19,19,45,0,0,1,0,82.0,26.0,0.0,0.0,0.0,2015-01-19 19:45:00
1,20,7,15,1,0,0,1,82.0,50.0,0.0,0.0,0.0,2015-01-20 07:15:00
1,20,8,15,1,0,1,0,82.0,15.0,0.0,0.0,0.0,2015-01-20 08:15:00
1,20,9,15,1,0,0,1,82.0,43.0,0.0,0.0,0.0,2015-01-20 09:15:00
1,20,10,45,1,0,1,0,82.0,15.0,0.0,0.0,0.0,2015-01-20 10:45:00
1,20,11,45,1,0,0,1,82.0,30.0,0.0,0.0,0.0,2015-01-20 11:45:00
1,20,12,45,1,0,1,0,82.0,22.0,0.0,0.0,0.0,2015-01-20 12:45:00
1,20,14,15,1,0,0,1,82.0,12.0,0.0,0.0,0.0,2015-01-20 14:15:00
1,20,15,15,1,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-20 15:15:00
1,20,16,15,1,0,0,1,82.0,14.0,0.0,0.0,0.0,2015-01-20 16:15:00
1,20,17,45,1,0,1,0,82.0,25.0,0.0,0.0,0.0,2015-01-20 17:45:00
1,20,18,45,1,0,0,1,82.0,23.0,0.0,0.0,0.0,2015-01-20 18:45:00
1,20,19,45,1,0,1,0,82.0,35.0,0.0,0.0,0.0,2015-01-20 19:45:00
1,21,7,15,2,0,0,1,82.0,34.0,0.0,0.0,0.0,2015-01-21 07:15:00
1,21,8,15,2,0,1,0,82.0,21.0,0.0,0.0,0.0,2015-01-21 08:15:00
1,21,9,15,2,0,0,1,82.0,34.0,0.0,0.0,0.0,2015-01-21 09:15:00
1,21,10,45,2,0,1,0,82.0,22.0,0.0,0.0,0.0,2015-01-21 10:45:00
1,21,11,45,2,0,0,1,82.0,16.0,0.0,0.0,0.0,2015-01-21 11:45:00
1,21,12,45,2,0,1,0,82.0,19.0,0.0,0.0,0.0,2015-01-21 12:45:00
1,21,14,15,2,0,0,1,82.0,19.0,0.0,0.0,0.0,2015-01-21 14:15:00
1,21,15,15,2,0,1,0,82.0,21.0,0.0,0.0,0.0,2015-01-21 15:15:00
1,21,16,15,2,0,0,1,82.0,24.0,0.0,0.0,0.0,2015-01-21 16:15:00
1,21,17,45,2,0,1,0,82.0,62.0,0.0,0.0,0.0,2015-01-21 17:45:00
1,21,18,45,2,0,0,1,82.0,25.0,0.0,0.0,0.0,2015-01-21 18:45:00
1,21,19,45,2,0,1,0,82.0,35.0,0.0,0.0,0.0,2015-01-21 19:45:00
1,22,7,15,3,0,0,1,82.0,36.0,0.0,0.0,0.0,2015-01-22 07:15:00
1,22,8,15,3,0,1,0,82.0,10.0,0.0,0.0,0.0,2015-01-22 08:15:00
1,22,9,15,3,0,0,1,82.0,40.0,0.0,0.0,0.0,2015-01-22 09:15:00
1,22,10,45,3,0,1,0,82.0,24.0,0.0,0.0,0.0,2015-01-22 10:45:00
1,22,11,45,3,0,0,1,82.0,26.0,0.0,0.0,0.0,2015-01-22 11:45:00
1,22,12,45,3,0,1,0,82.0,16.0,0.0,0.0,0.0,2015-01-22 12:45:00
1,22,14,15,3,0,0,1,82.0,25.0,0.0,0.0,0.0,2015-01-22 14:15:00
1,22,15,15,3,0,1,0,82.0,35.0,0.0,0.0,0.0,2015-01-22 15:15:00
1,22,16,15,3,0,0,1,82.0,37.0,0.0,0.0,0.0,2015-01-22 16:15:00
1,22,17,45,3,0,1,0,82.0,62.0,6.0,0.0,0.0,2015-01-22 17:45:00
1,22,18,45,3,0,0,1,82.0,25.0,0.0,0.0,0.0,2015-01-22 18:45:00
1,22,19,45,3,0,1,0,82.0,29.0,0.0,0.0,0.0,2015-01-22 19:45:00
1,23,7,15,4,0,0,1,82.0,43.0,0.0,0.0,0.0,2015-01-23 07:15:00
1,23,8,15,4,0,1,0,82.0,37.0,0.0,0.0,0.0,2015-01-23 08:15:00
1,23,9,15,4,0,0,1,82.0,65.0,7.0,0.0,0.0,2015-01-23 09:15:00
1,23,10,45,4,0,1,0,82.0,36.0,0.0,0.0,0.0,2015-01-23 10:45:00
1,23,11,45,4,0,0,1,82.0,58.0,9.0,0.0,0.0,2015-01-23 11:45:00
1,23,12,45,4,0,1,0,82.0,72.0,0.0,0.0,0.0,2015-01-23 12:45:00
1,23,14,15,4,0,0,1,82.0,13.0,42.0,12.0,0.0,2015-01-23 14:15:00
1,23,15,15,4,0,1,0,82.0,20.0,34.0,18.0,3.0,2015-01-23 15:15:00
1,23,16,15,4,0,0,1,82.0,10.0,54.0,4.0,0.0,2015-01-23 16:15:00
1,23,17,45,4,0,1,0,82.0,21.0,32.0,19.0,10.0,2015-01-23 17:45:00
1,23,18,45,4,0,0,1,82.0,12.0,40.0,6.0,0.0,2015-01-23 18:45:00
1,23,19,45,4,0,1,0,82.0,72.0,4.0,0.0,0.0,2015-01-23 19:45:00
1,24,7,15,5,0,0,1,82.0,16.0,38.0,8.0,0.0,2015-01-24 07:15:00
1,24,8,15,5,0,1,0,82.0,50.0,0.0,0.0,0.0,2015-01-24 08:15:00
1,24,9,15,5,0,0,1,82.0,14.0,41.0,14.0,0.0,2015-01-24 09:15:00
1,24,10,45,5,0,1,0,82.0,67.0,0.0,0.0,0.0,2015-01-24 10:45:00
1,24,11,45,5,0,0,1,82.0,75.0,1.0,0.0,0.0,2015-01-24 11:45:00
1,24,12,45,5,0,1,0,82.0,41.0,0.0,0.0,0.0,2015-01-24 12:45:00
1,24,14,15,5,0,0,1,82.0,53.0,0.0,0.0,0.0,2015-01-24 14:15:00
1,24,15,15,5,0,1,0,82.0,54.0,0.0,0.0,0.0,2015-01-24 15:15:00
1,24,16,15,5,0,0,1,82.0,41.0,0.0,0.0,0.0,2015-01-24 16:15:00
1,24,17,45,5,0,1,0,82.0,9.0,30.0,0.0,0.0,2015-01-24 17:45:00
1,24,18,45,5,0,0,1,82.0,42.0,0.0,0.0,0.0,2015-01-24 18:45:00
1,24,19,45,5,0,1,0,82.0,65.0,10.0,1.0,0.0,2015-01-24 19:45:00
1,25,8,15,6,0,0,1,82.0,21.0,0.0,0.0,0.0,2015-01-25 08:15:00
1,25,9,15,6,0,1,0,82.0,21.0,0.0,0.0,0.0,2015-01-25 09:15:00
1,25,10,15,6,0,0,1,82.0,28.0,0.0,0.0,0.0,2015-01-25 10:15:00
